source_doc_id,source_title,topic,dup_text,hardness
6700,Hindu denominations,history_war,hindu denominations sampradayas traditions movements and sects are traditions and sub-traditions within hinduism on one or more gods goddesses such as vishnu shiva shakti and so sampradaya used for branches particular founder-guru with particular philosophy hinduism has no central doctrinal many hindus do not claim belong to any particular denomination or tradition four major traditions are are however used in scholarly studies vaishnavism shaivism shaktism and smartism these are sometimes referred as denominations of hinduism they differ in primary deity at the centre of each tradition notable feature of hindu denominations is they not deny other concepts the divine or deity and often celebrate as henotheistic equivalent denominations of hinduism states lipner are unlike those found major major religions of the world because hindu denominations are fuzzy with individuals practising more than and he suggests term hindu polycentrism although hinduism contains many denominations and philosophies it is linked by shared concepts recognisable rituals cosmology shared textual resources pilgrimage sacred sites and questioning authority typology the word hindu is exonym this word hindu is derived the indo-aryan and sanskrit word sindhu sindhu which means large body of water covering river ocean was used as name of indus river and also referred tributaries the actual term hindu' first occurs states gavin flood as persian geographical term the people who lived beyond the river sanskrit sindhu hindus are persons who regard themselves as culturally ethnically or religiously adhering to aspects of hinduism historically the term has also been used as geographical cultural and later religious identifier for people living indian subcontinent in th century european merchants colonists began to refer to followers indian religions collectively hindus until about mid century hindus subscribe diversity of ideas spirituality traditions have no ecclesiastical order no religious authorities no governing body no prophet nor any binding holy book hindus can choose be polytheistic pantheistic monotheistic monistic agnostic or humanist hinduism as it commonly known can be subdivided major currents historical division six darsanas philosophies philosophies two schools vedanta and are currently most prominent classified primary deity or deities four major hinduism modern currents are vaishnavism vishnu shaivism shiva shaktism shakti smartism five deities treated as same these deity-centered denominations synthesis various philosophies such as samkhya yoga vedanta as well as shared spiritual concepts as moksha dharma karma samsara ethical precepts such as texts upanishads,easy
8671,Mietta O'Donnell,history_war,january and melbourne-based mietta australian restaurateur january chef food writer described her later years as australia's leading culinary publisher and critic was also noted and named competition her is patron honour music song o'donnell's grandparents were italian migrants teresa and mario who arrived in from milan establish mario's' in exhibition o'donnell for partner they ran over her years tony opened her restaurant mietta's' in brunswick street fitzroy north in june mietta's' moved to alfred place central saarelaht melbourne and in february jex in kate ceberano performed restaurant they recorded and later an album titled open the live at mietta's she was in accident tasmania killed car in while to speak at food wine seminar her funeral was attended by over people from the arts politics restaurant had song mietta's' and world competition mietta also become salon of the arts including music in along partner tony knox len vorster easton and art o'donnell an annual elms ran lauris song herself in it named the melbourne song recital award after her death in the competition was revived it as mietta since award in has song been held every it now as the mietta song publications books authored by include mietta and friends books with knox schwartz australian wilkinson chefs great publishing melbourne mietta's italian family recipes black inc melbourne references deaths australian writers th-century australian women writers australian food australian australian restaurateurs chefs writers women restaurateurs australian people italian descent australian women writers australian patrons music women food writers women writers road incident in deaths women th-century chefs tasmania australian philanthropists,medium
10606,Compañeros (TV series),technology,it globomedia produced series television compa is drama teen eros aired on antena from premise the fiction follows the mishaps instituto at the group of of bachillerato studying teenagers for azcona eva santolaria valle bermejo antonio hortelano quimi verdet as sara isabel arbueso eloy as belmonte ruth as as vallalta as tanja mijatovic arancha as lolo bermejo as luismi rcenas as tor rell as as miguel lix alfredo clara desir roc beatriz carvajal as marisa vi cristina pe as jose as janer as as vea bego sar mart gustavo maestre duna belarde tina sainz tere roncesvalles merc as production and on premiered and manuel created by series the march by valdivia the series was initially carvajal with tight budget it eventually series episodes one comprising most became spanish broadcasting premise iconic performed the seasons ended compa eros spin-off titled after the series' popular was la by de theme daniel composed opening which nchez hera and performed by and then and marte spoof series homage another compa series and drama teen paying popular to al de featuring some series on playz references spanish television series television spanish endings drama drama spanish spanish series debuts television series spanish teen drama television series antena spanish tv drama channel spanish-language network teen television series teen drama series series television teenagers television series by globomedia,hard
7708,John Thomas (athlete),history_war,john curtis thomas march january american track field athlete who set several records high using straddle technique as youth he earned eagle scout award at the age of while freshman boston university thomas became the man to feet indoors he subsequently pushed the world record and broke the world outdoor three times with career best jump of at age of thomas' meteoric career captivated the track world but he failed win an an olympic gold medal despite favored win both the and games he settled bronze medal the ussr's robert shavlakadze gold valeriy brumel silver thomas's failure in on thursday was accompanied by other failures that american favorites the day become known as black thursday' he was again beaten by brumel who cleared the same top height as thomas but was declared the winner based on fewer misses at lower heights john rambo won the bronze thomas is an inductee the usatf hall fame jumping orientation thomas planted his left foot for take-off high high kicked his right leg would lead over the bar biography thomas born boston and grew up in cambridge massachusetts his father curtis bus driver and his mother ida kitchen employee at harvard university he graduated from boston university bachelor's degree and psychological thomas retired from competition at the age of and became businessman he later served an assistant coach at university and athletic director roxbury community college died at while undergoing vascular surgery brockton massachusetts hospital references deaths male high jumpers boston university college health and rehabilitation sciences sargent college alumni athletes track and field at the summer athletes track field at the summer olympics world record setters in athletics track and field mdy dates dates from august medalists at summer olympics medalists at the summer olympics olympic silver medalists for united states track and field olympic bronze medalists for united states track and field african-american male track and field athletes,easy
6847,Club Champion,sports,champion stylized club as club champion llc is golf club fitting company based in willowbrook illinois the company established in and has and company overview has in golf club in market major locations the united states delivers tour-quality club fittings with the goal of producing longer more accurate shots for skill the of is level golfers approach any unbiased no specific is desired result of finding the best combination of components each customer each location access has grip to and more combinations than for customers to test history champion was established as three-studio fitting business the fitting process was designed company's his founder nick sherburne found the by way into golf fitting in by out with club repairs and custom fitting at ejl improvements in shaft such launch monitors technology technology as new grip and clubhead advancements helped change fitting philosophy which ultimately manifest in the creation of club champion chairman keith lee joe former bank and former partnered with sherburne to launch the they liked the idea providing professional-level to amateur players in the has world golf nationwide club today champion acquisitions club champion was acquired by levine leichtman capital partners stylized as llcp angeles-based private equity firm in was llp by advised ellis llcp north point advisors as financial advisor to the sellers of champion club champion canadian and builder tour experience golf allowed expand as company january txg the integration club fitting services beyond the borders of the states for the first time accolades club champion has by of been golf one ranked digest as america's best club fitters the publication found that eight out of nine club customers their score by as per much strokes as round six added twenty-one yards off the with their and thirteen yards with their irons club champion also ranks as in com's of golf north clubfitters top one america club champion was by datatech in study as the no fitter in volume and the no goods equipment industry fitter sporting references overall golf golf instruction golf retailers of the united states,medium
5682,It'll Never Work?,history_war,work new for is it'll programme children television showcasing never inventions and developments in scientific produced by milani for children's for the show ran and seven between august series november on weekdays within the children's bbc later cbbc strand bbc it'll children's throughout presented gray was by one its never who go on to present children's quiz jez who would on primetime bbc hence related to series go tomorrow's front technology and science presenter lamont was augmented during later series by december presenters series for series each episode and rick adrian johnson the presenters worldwide to discover gadgets and to out whether or inventions new the in not hence the show's title main features adverts would gu inventions that solve everyday problems the practical was critically commercially lauded and but show not the bafta award in the category of best children's programme factual the roy the following again same milani category for series moreover achieved ratings of up to million depeche mode's were there music are used people theme as was series seven never work produced total appearing inventions on bbc one the episodes minutes first of series consisted of each six six length and were screened as part of children's season running of christmas before six on the in school afternoons holidays tuesday the final series in comprised only five episodes and was episodes as holidays on all school summer for mondays of the pm first series november december consisted second november third series series november december fourth december december fifth sixth november december seventh series august design awards the series introduced competition for work it'll the young submit design never awards the first awards ceremony from the science museum in march with the form astronomer the patrick including in segment judging same panel year later on march kevin warwick notes links it'll never series work bbc the bfi endings debuts at television television children's television shows,hard
7597,Nuclear Explosions (Prohibition and Inspections) Act 1998,history_war,nuclear nuclear prohibition act is act the parliament of the kingdom to implement and enforce the comprehensive test ban treaty of it is not yet in force the act explicitly declares that to cause nuclear explosion test or other reason be offence and punishable by life and confiscation anything relating to offence the only exception where explosion is deemed to have been carried in the course of an armed conflict if question arises over this then the secretary of state defence decides issues certificate of determination act will apply to any explosion caused within the united kingdom or caused elsewhere british nationals corporations the act will also allow for on-site inspection parties as mandated and criminalise any attempts wilfully obstruct such inspections will also grant powers enter search premises if justice of the peace is satisfied that there is reasonable ground suspecting that an offence is being has been or is about committed the final section of the act states that the act does not come into effect until minister signs an order declaring the date on which it is become effective this has not yet been however anti-terrorism anti-terrorism crime and security act which is force includes offences nuclear weapons also nuclear material offences act external links full text the nuclear explosions prohibition and inspections act part the anti-terrorism crime and security act united kingdom acts parliament comprehensive nuclear-test-ban treaty nuclear in the united kingdom,easy
1840,"Summerstown, London",geography_places,london district on is summerstown of located south-west the boundary between the london of wandsworth and the borough of merton it is an area the of earlsfield of south of eastern and tooting north of collier's wood the district is bisected and by the river wandle history evidence of settlement summerstown middle ages the area in first appears when the river wandle was bordered by in this area worked by villagers from hamlet of garratt local gives lane' which name garratt the its stretch by dutchmen are as manufacturing kettles and frying pans here while huguenot refugees are thought to and silk by engaged weaving making the this area was becoming increasingly populated with of the day properties being built in the area at this clement in time the danes st notably almshouses now become council housing nineteenth century also saw the construction summerstown's parish church chapel being built in in by it was and extended and apparent that yet larger church was needed so the present st church was constructed just off garratt lane it early altered twentieth remains the to day century was turbulent time the parish with the great war costing of men in the parish were memorial memorialised by located is summerstown's conflict which just inside st mary's church the second world war summerstown was also affected by bombing particularly in hazelhurst when injuring and struck killing road rocket over after the war this presented council with the opportunity to construct the hazelhurst estate in between and bolan family and known feld as marc lived summerstown attended hillcroft school now ernest bevin academy and worked part time as dish washer at bar wimpy in time tooting local his burger in summerstown difficult formative with feld often busking outside the former prince of wales now tesco express commemorative erect plans to mark plaque in to bolan's time in the area were announced present day the parish church st church is still open and active in at hosting each parish service sunday morning and holds range of services include prayers and talks from the as well for community raises project identifies summerstown summerstown local awareness of history founded geoff simmons project has responsible for plaques in honour of many former residents including sidney barr was crawford lewis and peter sadie,medium
3005,Hlybokaye,geography_places,is hlybokaye glubokoye belarus it or vitebsk poland region town as administrative center of it has population the town is located from international polotsk the on road with vilnius the to historic railway line to woropajewo in the interwar poland the within soviet in was town poland the of invasion incorporated the city there are two lakes kahalnaye and from the originates river first written in birchwood brzoz the polish wka records about the settlement date back during war in occupied district of poland to massacre up berezwecz the of was polish prisoners by the soviet nkvd police during the nazi murdered to were remains from occupation as thousand july several of more than probably shot nkvd the of the area basement of first again from local were discovered the in mention of comes from and this date is as the documents hlybokaye was it the of duchy grand the of lithuania consisting of manor house property owned zianowicz first settled th the the end by of up century and th in represented of the town's residents second republic during local polish-soviet war in was army polish hlybokaye by december but over taken in july found itself in the hands of the bolsheviks of on tukhachevsky as near by mikhail offensive the result hlybokaye there berezwecz was battle in which some soldiers died on into regained in hlybokaye poles of the the october both the second polish republic was officially by the treaty riga union poland and the signed became soviet it between town administrative center of the dzi nie bokie district and of became of part nowogr from on hlybokaye february voivodeship municipality april part wile ska region and on january of wilno november the voivodeship boundaries according to within on of settlement the polish census some jews lived in hlybokaye accounting for invasion before its the of soviet of population just poland in world war had population most worked in either confectionery administration shops private every and mill county tannery factory market held in town's centre in and four times year country fairs border in the kop corps town also the polish stationed regiment,hard
4491,Ng Ling Ling,history_war,ng ling born is singaporean politician banker civil servant member of the governing people's action party pap she has been the member of parliament mp representing jalan kayu division of ang mo kio grc since education attended raffles girls' school school raffles junior college she graduated from nanyang technological university with bachelor of accountancy in and completed master public national university in career on ng was the banking banking industry six years in she service sector by working national council social service ng became managing director the community chest five years stepping down ng former chief of future primary care director engagement at ministry health's office for healthcare transformation political career ng fielded the general to contest ang mo kio grc when ang hin intan azura mokhtar stepped down their respective wards and politics she is the people's action party's pap ticket against the reform party ng's running mates were lee hsien loong darryl david gan poh and nadia ahmad samdin on ng the pap team were declared members of parliament representing ang mo kio grc in the th parliament after garnering of valid votes then appointed deputy chairwoman of the health government parliamentary committee gpc in accolades ng was awarded her world woman the year for her work community chest of singapore personal life ng grew three-room hdb flat she married with one son references external links ng ling parliament of of singapore singaporean women politics people's action party politicians raffles secondary school alumni raffles junior college alumni births living people members the parliament of singapore,easy
